               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.039359,            0.035355,            0.001343,             0.71734,             0.63633,             0.66664,             0.27365,            0.047975,            0.016365,           0.0013955,            0.008482,            0.008482,            0.008482
                  48,            0.038937,            0.035595,           0.0012557,              0.7193,             0.67561,             0.69675,             0.29032,            0.047061,            0.015959,           0.0013115,            0.008449,            0.008449,            0.008449
                  49,            0.038746,            0.035031,           0.0012292,             0.68822,             0.67213,             0.70244,             0.29052,            0.047362,            0.016082,           0.0011074,            0.008416,            0.008416,            0.008416
                  50,            0.038813,            0.034617,           0.0013471,             0.71891,             0.68401,             0.70435,              0.2992,             0.04704,            0.016079,           0.0014025,            0.008383,            0.008383,            0.008383
                  51,              0.0384,            0.034274,           0.0012846,             0.72048,             0.69772,             0.71898,             0.30408,            0.047061,             0.01593,           0.0013577,             0.00835,             0.00835,             0.00835
                  52,            0.038378,            0.034711,           0.0012068,             0.65613,             0.68668,              0.6634,             0.28543,            0.047414,             0.01624,           0.0010999,            0.008317,            0.008317,            0.008317
                  53,            0.038383,            0.034627,           0.0012226,             0.72161,             0.62367,             0.65347,             0.27821,            0.048355,            0.016375,           0.0015437,            0.008284,            0.008284,            0.008284
                  54,            0.038112,            0.033888,           0.0012515,             0.70195,              0.6959,             0.70004,             0.28792,            0.046815,            0.016221,           0.0013591,            0.008251,            0.008251,            0.008251
                  55,            0.037829,            0.034269,           0.0011534,             0.73898,             0.64091,             0.66799,              0.2732,            0.047893,             0.01662,           0.0014066,            0.008218,            0.008218,            0.008218
                  56,            0.037737,            0.034716,           0.0012757,              0.7156,             0.64442,             0.64527,             0.27416,            0.048195,            0.016317,           0.0013957,            0.008185,            0.008185,            0.008185
                  57,            0.037495,            0.034232,           0.0010811,             0.70196,             0.65092,             0.68555,             0.27913,            0.048166,            0.016214,           0.0013191,            0.008152,            0.008152,            0.008152
                  58,            0.037512,             0.03367,           0.0012027,             0.73858,             0.64771,             0.67242,             0.27995,            0.047887,            0.016324,            0.001671,            0.008119,            0.008119,            0.008119
                  59,            0.037356,            0.034052,           0.0011573,             0.70001,             0.65464,             0.64166,             0.26834,            0.047686,             0.01673,           0.0017995,            0.008086,            0.008086,            0.008086
                  60,            0.036913,            0.033868,           0.0011151,             0.68888,             0.66981,             0.65604,             0.27044,            0.048154,            0.016684,            0.001522,            0.008053,            0.008053,            0.008053
                  61,            0.037149,            0.033682,           0.0011388,               0.708,             0.67593,             0.65854,             0.27911,            0.047395,            0.016598,           0.0013812,             0.00802,             0.00802,             0.00802
                  62,            0.036909,             0.03355,           0.0011674,             0.74582,             0.63751,             0.68063,              0.2713,            0.048357,            0.016712,           0.0013628,            0.007987,            0.007987,            0.007987
                  63,            0.036607,            0.033406,           0.0010762,             0.75483,             0.65741,             0.67553,             0.28092,             0.04754,            0.016734,           0.0015328,            0.007954,            0.007954,            0.007954
                  64,            0.036481,             0.03309,           0.0011319,             0.71429,             0.67327,             0.68782,             0.28535,            0.047176,            0.016909,           0.0013117,            0.007921,            0.007921,            0.007921
                  65,            0.036289,            0.032683,           0.0011515,             0.70601,             0.65919,             0.66297,             0.26816,            0.048614,            0.017418,           0.0016457,            0.007888,            0.007888,            0.007888
                  66,            0.036135,            0.033403,           0.0010718,             0.73314,             0.67869,              0.6697,             0.27609,            0.048253,            0.016714,           0.0014417,            0.007855,            0.007855,            0.007855
                  67,            0.036608,            0.033131,           0.0010571,             0.72374,             0.64961,             0.65556,             0.27133,            0.047957,            0.016913,            0.001512,            0.007822,            0.007822,            0.007822
                  68,            0.036034,            0.032953,           0.0010508,             0.70963,             0.67502,             0.64691,             0.25853,             0.04893,            0.016862,           0.0016107,            0.007789,            0.007789,            0.007789
